          id,state,district,crop_year,season,crop_names,area,temp,wind_speed,preasure,humidity,soil ,n ,p,k,production,yield
125208,TamilNadu,Tirunelveli,1997,Summer     ,Maize,1100,21.7547620952423,2.10865504899107,1014.50395727415,20.6249773388764,clay,8.22,8.22,0,1900,1.72727272727272
125209,TamilNadu,Tirunelveli,1997,Whole Year ,Cotton(lint),98,20.9332846873376,2.01136664163891,1015.40619612543,20.8152987250746,loamy,0.465,0.465,0.465,17900,182.653061224489
125210,TamilNadu,Tirunelveli,1998,Kharif     ,Arhar/Tur,18800,20.6928974869527,2.08761787389239,1014.73986193927,21.9499981159447,silty,38.25,38.25,38.25,9700,0.51595744680851
125211,TamilNadu,Tirunelveli,1998,Kharif     ,Bajra,302400,20.9888345421006,2.07755718957951,1014.94024146318,20.6154117016449,clay,0,26.832,0,243900,0.806547619047619
125212,TamilNadu,Tirunelveli,1998,Kharif     ,Castor seed,400,20.8318445569387,1.99504885510642,1014.65488896252,21.5135824632495,silt,10.24,26.624,26.624,100,0.25
125213,TamilNadu,Tirunelveli,1998,Kharif     ,Cotton(lint),12100,21.7210363699639,2.02801456080364,1013.71307407957,20.7327295432713,chalky,41.496,110.656,55.328,19900,1.64462809917355
125214,TamilNadu,Tirunelveli,1998,Kharif     ,Groundnut,7100,20.1248972030592,2.07020757986379,1014.85664350377,21.3959175193253,loamy,7.84,7.84,0,6200,0.873239436619718
125215,TamilNadu,Tirunelveli,1998,Kharif     ,Jowar,300,21.3074434727952,2.0607921217266,1015.43776412907,21.6067011040829,chalky,7.504,18.76,7.504,500,1.66666666666666
125216,TamilNadu,Tirunelveli,1998,Kharif     ,Maize,5800,22.0288768642095,2.01808829252276,1014.87896781693,20.5931981673615,loamy,0,0,0,12500,2.1551724137931
125217,TamilNadu,Tirunelveli,1998,Kharif     ,Moong(Green Gram),15600,20.8949359823528,2.10301466977403,1014.65757999311,21.1235593362447,clay,2.896,3.62,0,9100,0.583333333333333
125218,TamilNadu,Tirunelveli,1998,Kharif     ,Niger seed,2100,20.5011406868889,2.04221824008201,1015.9569194318,21.2694932868305,chalky,3.15,0,0,900,0.428571428571428
125219,TamilNadu,Tirunelveli,1998,Kharif     ,Other Cereals & Millets,4100,22.0235237079015,2.06415081472295,1015.31812471506,21.2706994891998,chalky,3.45,3.45,0,2400,0.585365853658536
125220,TamilNadu,Tirunelveli,1998,Kharif     ,Other Kharif pulses,16800,22.0625062374513,2.06552666013011,1013.10786529088,20.4501390971511,silt,0,0,0,7000,0.416666666666666
125221,TamilNadu,Tirunelveli,1998,Kharif     ,Ragi,3000,20.180437615581,2.10757964503927,1014.31218712472,20.8395581829437,chalky,902.566,0,0,2100,0.7
125222,TamilNadu,Tirunelveli,1998,Kharif     ,Rice,5600,20.8376573646369,2.06981275938196,1014.44387550763,21.3733186133397,peaty,6.516,16.652,0,7400,1.32142857142857
125223,TamilNadu,Tirunelveli,1998,Kharif     ,Sesamum,900,20.5128186381289,1.98236701031229,1013.98030498891,21.5505228950021,peaty,59.22,0,0,300,0.333333333333333
125224,TamilNadu,Tirunelveli,1998,Kharif     ,Soyabean,4600,21.331250600563,2.04296751183787,1014.82469695512,20.9057940758853,clay,7.68,7.68,0,5500,1.19565217391304
125225,TamilNadu,Tirunelveli,1998,Kharif     ,Sugarcane,59600,20.2847834933157,2.09927681714744,1014.57362198834,22.0223453615452,peaty,3.255,3.255,3.255,5231800,87.7818791946308
125226,TamilNadu,Tirunelveli,1998,Kharif     ,Sunflower,11500,20.3557474212868,2.02240690212749,1015.25579696689,21.6195592825483,loamy,38.25,38.25,38.25,3500,0.304347826086956
125227,TamilNadu,Tirunelveli,1998,Kharif     ,Urad,2800,21.6547511812949,2.05191229459186,1015.26704120206,21.4922771811685,sandy,0,28.048,0,1300,0.464285714285714
125228,TamilNadu,Tirunelveli,1998,Rabi       ,Gram,59600,21.5871963265827,2.07392442474375,1013.80223439063,21.8721932118572,loamy,10.5,27.3,27.3,40900,0.686241610738255
125229,TamilNadu,Tirunelveli,1998,Rabi       ,Jowar,453200,21.6727990405039,2.0532453271984,1014.41227265018,20.4455827191427,chalky,39.72,105.92,52.96,227900,0.502868490732568
125230,TamilNadu,Tirunelveli,1998,Rabi       ,Linseed,1200,20.7442978415804,2.10969602527769,1013.37384724481,21.6604642221443,silty,8.008,8.008,0,400,0.333333333333333
125231,TamilNadu,Tirunelveli,1998,Rabi       ,Maize,7900,20.80579740054,2.10220866713585,1014.53445745396,21.3180246293982,peaty,5.824,14.56,5.824,12200,1.54430379746835
125232,TamilNadu,Tirunelveli,1998,Rabi       ,Other  Rabi pulses,500,21.7931104688903,2.05241016358352,1013.66198509171,21.7991048128496,chalky,0,0,0,300,0.6
125233,TamilNadu,Tirunelveli,1998,Rabi       ,Other Cereals & Millets,3000,21.2352486608547,2.02247821044388,1014.16884001131,20.6459838108146,clay,3.008,3.76,0,3700,1.23333333333333
125234,TamilNadu,Tirunelveli,1998,Rabi       ,Rapeseed &Mustard,200,20.2060822160395,2.05378208048083,1015.88841510947,20.9936667734985,sandy,2.775,0,0,,
125235,TamilNadu,Tirunelveli,1998,Rabi       ,Safflower,30000,21.8428819203104,2.08006631128312,1014.58545376254,20.5616025598279,silt,2.921,2.921,0,18500,0.616666666666666
125236,TamilNadu,Tirunelveli,1998,Rabi       ,Sesamum,400,21.0966883781815,2.02247080830238,1014.25839983914,21.9181023114433,peaty,0,0,0,100,0.25
125237,TamilNadu,Tirunelveli,1998,Rabi       ,Sunflower,9200,20.8978733440576,2.08610346735832,1014.72128927756,20.5608577134901,sandy,928.372,0,0,5100,0.554347826086956
125238,TamilNadu,Tirunelveli,1998,Rabi       ,Wheat,124400,20.7267974196271,2.01722557493367,1014.78872144373,20.1474345565757,silty,6.93,17.71,0,154200,1.23954983922829
125239,TamilNadu,Tirunelveli,1998,Summer     ,Groundnut,15000,20.2191489598665,1.99838706104794,1013.51319922272,21.2956423429016,silt,52.08,0,0,25700,1.71333333333333
125240,TamilNadu,Tirunelveli,1998,Summer     ,Maize,1500,20.7112428144823,2.0586287143362,1014.22333510834,21.0846438907248,silt,8.6,8.6,0,2300,1.53333333333333
125241,TamilNadu,Tirunelveli,1998,Summer     ,Sunflower,300,20.4037893658829,2.03618759781319,1013.81466811386,20.7379387770823,loamy,2.16,2.16,2.16,200,0.666666666666666
125242,TamilNadu,Tirunelveli,1999,Kharif     ,Arhar/Tur,19000,20.2734730732222,2.07965468235936,1015.5829859157,20.7043908118419,peaty,38.25,38.25,38.25,9900,0.521052631578947
125243,TamilNadu,Tirunelveli,1999,Kharif     ,Bajra,310600,20.2893632245742,2.01855440876331,1014.94463036954,21.6344268605455,chalky,0,20.08,0,178300,0.574050225370251
125244,TamilNadu,Tirunelveli,1999,Kharif     ,Castor seed,700,20.6756310927946,2.03561984552718,1015.54094392341,20.7537186301067,peaty,3.13,8.138,8.138,200,0.285714285714285
125245,TamilNadu,Tirunelveli,1999,Kharif     ,Cotton(lint),15000,20.5308268322254,2.10610439842765,1014.79825237728,20.1313659313398,peaty,38.688,103.168,51.584,22600,1.50666666666666
125246,TamilNadu,Tirunelveli,1999,Kharif     ,Groundnut,7300,22.0618439544064,2.01997790929566,1013.38265821911,21.8711738861876,clay,7.588,7.588,0,5400,0.73972602739726
125247,TamilNadu,Tirunelveli,1999,Kharif     ,Jowar,800,20.5436664511836,2.00350217662859,1015.70683969496,20.26536200804,silt,1.596,3.99,1.596,700,0.875
125248,TamilNadu,Tirunelveli,1999,Kharif     ,Maize,6400,20.0516867461588,2.06007432492411,1014.29429203515,20.4127619706373,silt,0,0,0,9500,1.484375
125249,TamilNadu,Tirunelveli,1999,Kharif     ,Moong(Green Gram),16800,20.8817512193828,2.03365102344002,1015.6520514933,21.993158717675,peaty,2.8,3.5,0,3700,0.220238095238095
125250,TamilNadu,Tirunelveli,1999,Kharif     ,Niger seed,2000,20.3089291173702,2.07401322031837,1014.24583507262,20.6683283827361,clay,2.525,0,0,500,0.25
125251,TamilNadu,Tirunelveli,1999,Kharif     ,Other Kharif pulses,17400,21.3091557517083,1.9861045424719,1014.03442421395,20.5620679344702,silt,3.91,3.91,0,5100,0.293103448275862
125252,TamilNadu,Tirunelveli,1999,Kharif     ,Ragi,2600,21.9571756495642,2.10849637731056,1013.40149305309,21.8539817732177,chalky,0,0,0,2500,0.961538461538461
125253,TamilNadu,Tirunelveli,1999,Kharif     ,Rice,5700,20.7706756462492,2.00608905410283,1013.24044969758,20.7056611904654,peaty,920.828,0,0,8000,1.40350877192982
125254,TamilNadu,Tirunelveli,1999,Kharif     ,Sesamum,900,20.3355803007719,2.0086820315661,1015.82328601691,20.3105620498672,silt,7.992,20.424,0,200,0.222222222222222
125255,TamilNadu,Tirunelveli,1999,Kharif     ,Small millets,600,20.3077001927979,2.00758748406078,1013.83777939149,20.748481701313,clay,40.908,0,0,500,0.833333333333333
125256,TamilNadu,Tirunelveli,1999,Kharif     ,Soyabean,7500,21.5438253703084,2.07013144305211,1013.26192582242,21.6957339535589,clay,7.66,7.66,0,10400,1.38666666666666
125257,TamilNadu,Tirunelveli,1999,Kharif     ,Sunflower,11200,20.7668359036616,2.08200642503663,1014.60838405924,21.5613639912497,loamy,0.975,0.975,0.975,3900,0.348214285714285
125258,TamilNadu,Tirunelveli,1999,Kharif     ,Urad,3200,21.7215870035963,1.98645082121336,1014.18798913741,21.3722785515573,sandy,38.25,38.25,38.25,800,0.25
125259,TamilNadu,Tirunelveli,1999,Rabi       ,Gram,55300,21.3160898055407,2.05499809566865,1014.82128469101,21.3629665815233,sandy,0,15.712,0,34600,0.625678119349005
125260,TamilNadu,Tirunelveli,1999,Rabi       ,Jowar,498300,20.746222521357,2.04101972257187,1015.23556296829,21.4875568941191,loamy,3.61,9.386,9.386,190900,0.383102548665462
125261,TamilNadu,Tirunelveli,1999,Rabi       ,Linseed,1100,21.0725718246953,1.97081214983772,1015.60303601895,21.0533193378963,clay,37.704,100.544,50.272,300,0.272727272727272
125262,TamilNadu,Tirunelveli,1999,Rabi       ,Maize,8800,21.2951147091417,2.07861623087074,1013.93024757872,21.083452545621,chalky,4.62,4.62,0,13900,1.57954545454545
125263,TamilNadu,Tirunelveli,1999,Rabi       ,Other  Rabi pulses,1600,21.2997546288624,2.07881454695341,1014.19380037328,20.4417656864318,peaty,2.422,6.055,2.422,700,0.4375
125264,TamilNadu,Tirunelveli,1999,Rabi       ,Rapeseed &Mustard,100,20.1867318801999,2.03032923555511,1014.4748034328,20.2809319743608,chalky,0,0,0,0,0
125265,TamilNadu,Tirunelveli,1999,Rabi       ,Safflower,32200,21.9824001382974,2.075230362791,1014.57320867764,20.6836814923241,peaty,2.288,2.86,0,16500,0.512422360248447
125266,TamilNadu,Tirunelveli,1999,Rabi       ,Sesamum,400,21.9607103772228,2.0011646469138,1015.38275572597,21.6749812601749,sandy,2.1,0,0,100,0.25
125267,TamilNadu,Tirunelveli,1999,Rabi       ,Small millets,800,20.9916740999676,2.01223223347119,1014.63149266602,21.7436257153587,chalky,1.771,1.771,0,200,0.25
125268,TamilNadu,Tirunelveli,1999,Rabi       ,Sunflower,8800,20.1815027667324,2.03331677228636,1015.34891873543,20.1649871222232,peaty,0,0,0,5000,0.568181818181818
125269,TamilNadu,Tirunelveli,1999,Rabi       ,Wheat,127000,20.0240637695624,2.03479437224009,1015.55765839038,21.164588294898,loamy,890.974,0,0,178800,1.40787401574803
125270,TamilNadu,Tirunelveli,1999,Summer     ,Groundnut,14100,21.2953587194103,2.0504152364446,1014.34955381271,20.5457523936038,clay,6.858,17.526,0,27800,1.97163120567375
125271,TamilNadu,Tirunelveli,1999,Summer     ,Maize,1700,21.662418935678,2.09929019921896,1015.32268323861,20.2019432522773,silty,27.195,0,0,2800,1.64705882352941
125272,TamilNadu,Tirunelveli,1999,Summer     ,Sunflower,300,21.2768539105495,2.039966902141,1015.25909058897,21.7256615889609,silty,7.46,7.46,0,200,0.666666666666666
125273,TamilNadu,Tirunelveli,1999,Whole Year ,Sugarcane,66600,20.1908574689131,2.02325649961175,1015.27897673263,21.9991684570567,sandy,0.045,0.045,0.045,5962900,89.533033033033
125274,TamilNadu,Tirunelveli,2000,Kharif     ,Arhar/Tur,19100,21.3984491952645,2.03196925769815,1015.87248946626,21.2649964508935,peaty,38.25,38.25,38.25,9400,0.492146596858638
125275,TamilNadu,Tirunelveli,2000,Kharif     ,Bajra,326100,20.4257601423446,1.99008364900861,1015.08340155228,21.7707990808086,loamy,0,10.368,0,187300,0.574363692118981
125276,TamilNadu,Tirunelveli,2000,Kharif     ,Castor seed,500,21.5163625173188,2.00173261329492,1015.3976155695,20.5831506171914,sandy,5.3,13.78,13.78,200,0.4
125277,TamilNadu,Tirunelveli,2000,Kharif     ,Cotton(lint),15700,20.7365195834968,2.00132190571808,1013.19322388488,20.3526490318745,sandy,36.84,98.24,49.12,25600,1.63057324840764
125278,TamilNadu,Tirunelveli,2000,Kharif     ,Groundnut,6800,21.307530471969,2.01750047936922,1014.25176131132,20.7699673001241,clay,3.276,3.276,0,6100,0.897058823529411
125279,TamilNadu,Tirunelveli,2000,Kharif     ,Jowar,800,22.0737462650839,2.08612702383401,1015.28604216876,21.5157664321359,loamy,1.288,3.22,1.288,700,0.875
125280,TamilNadu,Tirunelveli,2000,Kharif     ,Maize,7000,21.2465044027944,1.993641478184,1014.35337040749,20.5185066920185,clay,0,0,0,4400,0.628571428571428
125281,TamilNadu,Tirunelveli,2000,Kharif     ,Moong(Green Gram),19400,21.1744892937468,2.08139289951495,1013.19556480693,21.7904534621628,clay,0,0,0,8400,0.432989690721649
125282,TamilNadu,Tirunelveli,2000,Kharif     ,Niger seed,2300,21.3205273972668,2.01688508527531,1013.79453103889,20.8909493637204,chalky,1.325,0,0,600,0.260869565217391
125283,TamilNadu,Tirunelveli,2000,Kharif     ,Other Kharif pulses,19100,20.996107045458,1.99339962862537,1014.90906669658,20.6896783549597,chalky,5.98,5.98,0,6400,0.335078534031413
125284,TamilNadu,Tirunelveli,2000,Kharif     ,Ragi,4800,20.9273138921361,2.01649518244011,1013.02000209063,20.6298633673523,sandy,0,0,0,4300,0.895833333333333
125285,TamilNadu,Tirunelveli,2000,Kharif     ,Rice,5500,21.6236747256325,2.00212418249838,1015.86417864344,20.6649834438686,loamy,740.002,0,0,3800,0.69090909090909
125286,TamilNadu,Tirunelveli,2000,Kharif     ,Sesamum,1100,21.203081946425,2.05857906179557,1015.74636204365,21.823931017646,clay,32.508,83.076,0,200,0.181818181818181
125287,TamilNadu,Tirunelveli,2000,Kharif     ,Small millets,2700,21.2892429209462,2.05594581859609,1015.13214669812,20.9491394544705,clay,7.371,0,0,1500,0.555555555555555
125288,TamilNadu,Tirunelveli,2000,Kharif     ,Soyabean,7200,21.7538784850295,2.10100356113659,1013.25810233142,21.9634037906422,sandy,16.82,16.82,0,6200,0.861111111111111
125289,TamilNadu,Tirunelveli,2000,Kharif     ,Sunflower,10500,21.9192320103182,2.0255768674804,1015.64255669248,21.1170660332495,silt,5.7,5.7,5.7,5300,0.504761904761904
125290,TamilNadu,Tirunelveli,2000,Kharif     ,Urad,3400,21.5949819045955,2.09034175955045,1015.60275693855,20.7337171699544,peaty,0,0,0,1800,0.529411764705882
125291,TamilNadu,Tirunelveli,2000,Rabi       ,Gram,61000,21.3960435422241,2.06632416107314,1015.87115299908,21.6439737461237,silt,0,36,0,30300,0.496721311475409
125292,TamilNadu,Tirunelveli,2000,Rabi       ,Jowar,518700,20.5339827009257,2.01403794600557,1013.96036773762,21.5477064078076,sandy,6.68,17.368,17.368,160800,0.310005783689994
125293,TamilNadu,Tirunelveli,2000,Rabi       ,Linseed,1200,20.8051595684115,2.02080179939661,1013.72515754626,21.3624198767255,peaty,7.656,20.416,10.208,300,0.25
125294,TamilNadu,Tirunelveli,2000,Rabi       ,Maize,14000,21.9589470778033,2.09885361253162,1015.92637183463,20.6511519477143,loamy,1.148,1.148,0,16200,1.15714285714285
125295,TamilNadu,Tirunelveli,2000,Rabi       ,Other  Rabi pulses,600,21.0312519842211,2.05496495047646,1014.84916315859,21.4053080474518,silty,0,0,0,200,0.333333333333333
125296,TamilNadu,Tirunelveli,2000,Rabi       ,Rapeseed &Mustard,200,21.7161270044842,2.04195971926541,1015.21704811853,20.8153341233106,sandy,0,0,0,100,0.5
125297,TamilNadu,Tirunelveli,2000,Rabi       ,Safflower,30400,21.3067635386763,2.0650284617831,1015.57213849419,21.4325532500365,loamy,0.224,0.28,0,14500,0.476973684210526
125298,TamilNadu,Tirunelveli,2000,Rabi       ,Sesamum,400,21.9922646120612,2.03888958174072,1014.11522995358,21.7962452998697,chalky,0.5,0,0,100,0.25
125299,TamilNadu,Tirunelveli,2000,Rabi       ,Sunflower,7800,20.9174458597143,2.07050854290785,1014.07714668918,21.9793558918669,peaty,0,0,0,4000,0.512820512820512
125300,TamilNadu,Tirunelveli,2000,Rabi       ,Wheat,94700,20.2475599696068,1.98521958385234,1013.63177997741,20.4364796529125,chalky,598.552,0,0,135800,1.43400211193241
125301,TamilNadu,Tirunelveli,2000,Summer     ,Groundnut,11000,21.6125038612788,2.03360489701108,1015.96302285742,21.1915511128858,sandy,7.182,18.354,0,18300,1.66363636363636
125302,TamilNadu,Tirunelveli,2000,Summer     ,Sunflower,200,21.1983232225394,2.08941884946686,1013.65539846951,20.2015334482749,silt,35.742,0,0,100,0.5
125303,TamilNadu,Tirunelveli,2000,Whole Year ,Sugarcane,67100,20.5693990816104,1.97282899233208,1015.96841993521,20.6990687561776,clay,8.74,8.74,0,5163900,76.9582712369597
125304,TamilNadu,Tirunelveli,2001,Kharif     ,Arhar/Tur,16700,21.3651426523011,2.04837355228171,1013.01834261634,21.7520174211044,clay,0.615,0.615,0.615,5400,0.323353293413173
125305,TamilNadu,Tirunelveli,2001,Kharif     ,Bajra,194400,21.8816806522111,2.01442794002994,1015.67287437466,21.3254337489478,silt,38.25,38.25,38.25,82000,0.421810699588477
125306,TamilNadu,Tirunelveli,2001,Kharif     ,Castor seed,200,21.9856047234757,1.97516943960058,1014.56593179618,20.2294084606632,sandy,0,3.104,0,100,0.5
125307,TamilNadu,Tirunelveli,2001,Kharif     ,Cotton(lint),13500,20.3309819198189,2.02638666169878,1014.81552898009,20.1074331841865,silt,4.53,11.778,11.778,16700,1.23703703703703
125308,TamilNadu,Tirunelveli,2001,Kharif     ,Groundnut,5700,21.3725440105845,2.10444343384876,1013.13563789974,20.6377805484681,silty,39.204,104.544,52.272,4500,0.789473684210526
125309,TamilNadu,Tirunelveli,2001,Kharif     ,Jowar,200,21.0169080658865,2.10634617146458,1015.99803896254,21.8486517906036,silty,4.284,4.284,0,100,0.5
125310,TamilNadu,Tirunelveli,2001,Kharif     ,Maize,6400,22.0073609284419,2.08432417891915,1014.54609443066,21.9858877013597,silt,0,0,0,9800,1.53125
125311,TamilNadu,Tirunelveli,2001,Kharif     ,Moong(Green Gram),21000,22.0037636854648,1.97337767654007,1015.19522360379,21.1320429171283,loamy,1.501,1.501,1.501,3600,0.171428571428571
125312,TamilNadu,Tirunelveli,2001,Kharif     ,Niger seed,2200,20.5321240656871,1.99589098890587,1015.68516116986,20.7690709634851,silty,1.728,2.16,0,400,0.181818181818181
125313,TamilNadu,Tirunelveli,2001,Kharif     ,Other Kharif pulses,8900,21.7932900795618,2.09156433662268,1015.85702074858,21.4123814283443,sandy,2.65,0,0,2200,0.247191011235955
125314,TamilNadu,Tirunelveli,2001,Kharif     ,Ragi,4600,21.2899758008102,2.06568476243096,1015.57231714974,21.5665179079795,chalky,3.496,3.496,0,7000,1.52173913043478
125315,TamilNadu,Tirunelveli,2001,Kharif     ,Rice,7300,20.0419516292762,1.98678939771859,1015.0681026271,20.9348180449577,silt,0,0,0,4100,0.561643835616438
125316,TamilNadu,Tirunelveli,2001,Kharif     ,Sesamum,800,21.4331104041263,2.03139667970023,1015.54012119283,21.5469492695101,chalky,834.164,0,0,300,0.375
125317,TamilNadu,Tirunelveli,2001,Kharif     ,Small millets,1400,22.0768375073483,2.01528232111957,1015.78280862717,21.0079415414532,chalky,4.068,10.396,0,900,0.642857142857142
125318,TamilNadu,Tirunelveli,2001,Kharif     ,Soyabean,7600,21.9677363458745,2.06399845705184,1015.29014096387,21.2904731363809,chalky,49.329,0,0,9000,1.18421052631578
125319,TamilNadu,Tirunelveli,2001,Kharif     ,Sunflower,8600,21.8797920117318,2.07232213540639,1013.35854535285,20.8971836012538,clay,6.38,6.38,0,2900,0.337209302325581
125320,TamilNadu,Tirunelveli,2001,Kharif     ,Urad,4500,21.1384662507256,1.98619444520423,1015.69747271827,20.6662050325503,sandy,0.825,0.825,0.825,900,0.2
125321,TamilNadu,Tirunelveli,2001,Rabi       ,Gram,60000,20.4229759245172,2.00339083965932,1014.96515596292,20.6506108589303,clay,38.25,38.25,38.25,33100,0.551666666666666
125322,TamilNadu,Tirunelveli,2001,Rabi       ,Jowar,528900,21.110974430204,2.03975570381664,1015.11422750323,20.5253205874635,chalky,0,5.184,0,175000,0.330875401777273
125323,TamilNadu,Tirunelveli,2001,Rabi       ,Linseed,1300,21.3272296251276,2.0145179863049,1013.18998729604,20.6141702589721,sandy,2.08,5.408,5.408,300,0.23076923076923
125324,TamilNadu,Tirunelveli,2001,Rabi       ,Maize,12300,21.8805524780648,2.06438230497425,1015.57070162838,21.618592798139,sandy,22.572,60.192,30.096,22600,1.83739837398373
125325,TamilNadu,Tirunelveli,2001,Rabi       ,Other  Rabi pulses,800,21.2938001678361,1.97018443614581,1014.5397874163,21.1712272023401,sandy,8.876,8.876,0,400,0.5
125326,TamilNadu,Tirunelveli,2001,Rabi       ,Rapeseed &Mustard,100,20.3348123279555,2.05051425352563,1015.58981496711,21.8171023650136,loamy,0,0,0,10,0.1
125327,TamilNadu,Tirunelveli,2001,Rabi       ,Safflower,27400,20.8305202320789,1.97837208908532,1013.25813252758,21.4023782522126,peaty,0,0,0,11700,0.427007299270072
125328,TamilNadu,Tirunelveli,2001,Rabi       ,Sesamum,200,20.2725582548166,2.01694884221475,1013.14527922432,20.8756144238715,silty,1.6,2,0,10,0.05
125329,TamilNadu,Tirunelveli,2001,Rabi       ,Small millets,6000,20.9139190366164,2.01090996720273,1013.0716957004,20.4246383309888,silty,1.775,0,0,2900,0.483333333333333
125330,TamilNadu,Tirunelveli,2001,Rabi       ,Sunflower,5400,22.042424071617,2.08703586049484,1014.09558132359,20.7549445092238,loamy,2.484,2.484,0,7000,1.29629629629629
125331,TamilNadu,Tirunelveli,2001,Rabi       ,Wheat,93800,21.0961017019793,2.00067955896919,1013.10794572479,21.8735816508439,silty,0,0,0,156300,1.66631130063965
125332,TamilNadu,Tirunelveli,2001,Summer     ,Groundnut,11000,22.0672143025494,2.00906722114564,1015.55554777071,21.9099279934251,loamy,843.64,0,0,17200,1.56363636363636
125333,TamilNadu,Tirunelveli,2001,Summer     ,Maize,1500,21.6470151618779,2.01485566063054,1014.30898496231,20.4831169118952,loamy,6.39,16.33,0,2100,1.4
125334,TamilNadu,Tirunelveli,2001,Summer     ,Sunflower,100,21.4688974775005,2.00859622697141,1013.99480779473,20.6264623545663,chalky,50.673,0,0,100,1
125335,TamilNadu,Tirunelveli,2001,Whole Year ,Sugarcane,52000,21.7583647645241,2.00811458262072,1014.76600649573,21.7187906098955,silty,8.54,8.54,0,3596300,69.1596153846153
125336,TamilNadu,Tirunelveli,2002,Kharif     ,Arhar/Tur,14600,20.8464735864159,1.98661266761174,1014.27435446467,22.0694120275328,clay,2.535,2.535,2.535,5700,0.390410958904109
125337,TamilNadu,Tirunelveli,2002,Kharif     ,Bajra,218400,21.8645408107899,2.05331936676692,1013.72397506042,21.2221082863097,silty,38.25,38.25,38.25,158900,0.727564102564102
125338,TamilNadu,Tirunelveli,2002,Kharif     ,Castor seed,100,20.4267186230726,1.9866869208443,1014.2529085923,20.9314419385189,silty,0,25.136,0,10,0.1
125339,TamilNadu,Tirunelveli,2002,Kharif     ,Cotton(lint),10800,20.2568515537205,2.03136695022787,1014.0283890505,21.5733988531944,silt,7.36,19.136,19.136,8300,0.768518518518518
125340,TamilNadu,Tirunelveli,2002,Kharif     ,Groundnut,5800,21.5842422187992,2.08365753131336,1013.15415044855,21.1120066483052,chalky,16.008,42.688,21.344,4000,0.689655172413793
125341,TamilNadu,Tirunelveli,2002,Kharif     ,Jowar,100,20.1318372164424,2.08226173237689,1015.5916140647,20.2493073920306,peaty,6.44,6.44,0,100,1
